id,group
A27214249,outer
A26424405,outer
4NB2-M500-TWCN-F313,outer
HB070631486,outer
7V9N-JGM0-Y8XK-R2BJ,outer
4PP7-T9J0-TWCN-F338,outer
4V28-J160-TWCN-F0PD,outer
A44567892,outer
7WT6-8C50-Y8XK-R0DX,outer
A112898276,outer
4HR6-FM50-TWCN-F1WR,outer
HB39D9F358-9D94-4532-855E-022FA397FFC5,outer
4JHK-PFX0-TWCN-F3BB,outer
A24160547,outer
4PP0-T750-TWCN-F1S7,outer
4K76-HKR0-TWCN-F1YN,outer
HB110902918,outer
4SY3-RNV0-TWCN-F04C,outer
HB8477C022-554C-4601-8015-4207777FA99F,outer
HB041106832,outer
4PNC-V9W0-TWCN-F2J1,outer
597C-JT41-DY2B-S408,outer
7XDG-M3F1-2PFJ-10B0,outer
4JB8-47B0-TWCN-F23H,outer
4PP7-7TB0-TWCN-F2GS,outer
4PP7-T9N0-TWCN-F1SX,outer
HB010310166,outer
HB030530581,outer
55JK-YDM1-DY2B-S0TM,outer
A51860208,outer
A22459747,outer
A113021446,outer
HB020601352,outer
HB091016514,outer
60NS-YYC1-JBK9-20H7-00000-00,outer
A102193254,outer
A59955385,outer
A27002939,outer
59F4-SRB1-JBK9-20G7,outer
4NYB-3PV0-TWCN-F34N,outer
A114744922,outer
HB110219549,outer
5SB5-82M1-JBK9-24BK-00000-00,outer
7WYW-XJ90-Y8XK-R4YY,outer
A56761498,outer
7XG5-XPP0-Y8XK-R531,outer
A11929585,outer
A48433876,outer
55M9-PWB1-DY2B-S26F,outer
A46165140,outer
HB96B7B3D2-C900-477F-A135-3DDE09873418,outer
A70889505,outer
4CVN-T390-TWCN-F395,outer
5CYH-5DR1-JBK9-233M,outer
4GFK-4XV0-TWCN-F209,outer
A59568026,outer
HB0A7C59B5-5462-4DF1-B83A-5CA2DF1D4AAE,outer
A70685111,outer
5D77376A-2F27-4A8F-B6CD-6542DED2EC69,outer
A101228811,outer
HB4BD747AE-B548-4453-90F3-139147B6C2D6,outer
A53045664,outer
5P0X-6451-DY2B-S4WV,outer
A46873994,outer
A48240904,outer
5RCH-2S01-DY2B-S2T6-00000-00,outer
A42642843,outer
A40938242,outer
4DDN-2C40-TWCN-F2YG,outer
A75269502,outer
5107-XC61-DY2B-S08G,outer
A60697112,outer
A49640739,outer
HB021115531,outer
53BJ-KJ11-DY2B-S4N7,outer
5NJH-W6B1-DY2B-S2N8,outer
5BHP-3361-DY2B-S24R,outer
4PP7-T9D0-TWCN-F338,outer
A25598017,outer
4K70-MHF0-TWCN-F2SN,outer
5FCC-W7Y1-JBK9-20HM,outer
HB050922389,outer
4CWR-32R0-TWCN-F328,outer
HBC4615388-C06E-481A-B249-4115B2E58D92,outer
5HXD-0W51-DY2B-S10S,outer
HB070731302,outer
4HR6-FM40-TWCN-F3FB,outer
4CW3-5S00-TWCN-F2D7,outer
A71631253,outer
HB060830469,outer
4D4B-RNV0-TWCN-F1SJ,outer
A12731304,outer
HB060316424,outer
5491-4VT1-JBK9-20F3,outer
4J0N-DMX0-TWCN-F24J,outer
A11789641,outer
5PDM-K1P1-DY2B-S067,outer
4PPD-JT90-TWCN-F2TP,outer
A46992536,outer
HB0308191432,outer
A41353460,outer
HB060811565,outer
A41182003,outer
A14190552,outer
A44741454,outer
A23233137,outer
HB120315410,outer
A114040332,outer
HB040612282,outer
A54964252,outer
HB060125282,outer
A44168883,outer
HB050316552,outer
A22830864,outer
4PP0-T7X0-TWCN-F3C3,outer
7V3D-V0D1-2PFJ-13Y3,outer
536R-49D1-DY2B-S1GM,outer
